"Name","PFS","Source","Rarity","Traits","Level","Prerequisites","Benefits","Spoilers?"
"<u><a href=""Feats.aspx?ID=868"">Wilderness Spotter</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=3"" title=""The Fall of Plaguestone"">The Fall of Plaguestone</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=16"">Survival</a></u>","Use Survival for your Initiative when in a specific terrain.","The Fall of Plaguestone"
"<u><a href=""Feats.aspx?ID=3774"">Folk Dowsing</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=129"" title=""Dark Archive"">Dark Archive</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","3","trained in <u><a href=""Skills.aspx?ID=16"">Survival</a></u>","You can find what you're looking for using a dowsing rod or pendulum.","—"
"<u><a href=""Feats.aspx?ID=1156"">Know the Beat</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=14"" title=""Pathfinder #149: Against the Scarlet Triad"">Pathfinder #149</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","3","<u><a href=""Feats.aspx?ID=1154"">Zephyr Guard Dedication</a></u>","You have been trained to investigate crimes.","—"
"<u><a href=""Feats.aspx?ID=3475"">Blessed Medicine</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=118"" title=""Book of the Dead"">Book of the Dead</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=76"">Fortune</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=3474"">Undead Slayer Dedication</a></u>","Your experience battling undead has uniquely prepared you to fight the diseases they inflict on the survivors, and you know that leaving these maladies untreated for long will eventually lead to more undead.","—"
"<u><a href=""Feats.aspx?ID=3808"">Change of Face</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=129"" title=""Dark Archive"">Dark Archive</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=3807"">Alter Ego Dedication</a></u>","You know that for the best disguise to work, one requires not only the right skills but also the right look—luckily you can copy both using special magical techniques.","—"
"<u><a href=""Feats.aspx?ID=2219"">Dead Reckoning</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=50"" title=""PFS Guide"">PFS Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=32"">Concentrate</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=871"">Pathfinder Agent Dedication</a></u>; trained in <u><a href=""Skills.aspx?ID=16"">Survival</a></u>","You've trained yourself to maintain a strong sense of direction at all times, even when you can't use a compass or see the sky above.","—"
"<u><a href=""Feats.aspx?ID=909"">Diabolic Certitude</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=6"" title=""World Guide"">World Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=907"">Hellknight Armiger Dedication</a></u>","Your Hellknight training drilled details of Hell’s denizens deep into your mind.","—"
"<u><a href=""Feats.aspx?ID=1936"">Distracting Flattery</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=1935"">Dandy Dedication</a></u>; expert in <u><a href=""Skills.aspx?ID=5"">Deception</a></u>","You know how to maintain a good impression and manage your image, even while keeping uncouth company.","—"
"<u><a href=""Feats.aspx?ID=3613"">Eclipsed Vitality</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=123"" title=""Knights of Lastwall"">Knights of Lastwall</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=1890"">Assassin Dedication</a></u>, or <u><a href=""Feats.aspx?ID=2047"">Scout Dedication</a></u>; master in <u><a href=""Skills.aspx?ID=15"">Stealth</a></u>","You shroud yourself in ashes that hide the vital essence sought by life-sensing undead.","—"
"<u><a href=""Feats.aspx?ID=3148"">Engine Bay</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=3147"">Vehicle Mechanic Dedication</a></u>; expert in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>","You are practiced at working in vast garages of vehicles and can work on many machines at a time.","—"
"<u><a href=""Feats.aspx?ID=3599"">Familiar Foe</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=123"" title=""Knights of Lastwall"">Knights of Lastwall</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=882"">Lastwall Sentry Dedication</a></u>; expert in <u><a href=""Skills.aspx?ID=13"">Religion</a></u> or <u><a href=""Skills.aspx?ID=8"">Undead Lore</a></u>","You regularly face off against <u><a href=""Traits.aspx?ID=160"">undead</a></u> and can identify many with a glance.","—"
"<u><a href=""Feats.aspx?ID=1977"">Fancy Moves</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=1976"">Gladiator Dedication</a></u>; expert in <u><a href=""Skills.aspx?ID=12"">Performance</a></u>","You show off your fighting style to discourage your foes.","—"
"<u><a href=""Feats.aspx?ID=2267"">Fane's Escape</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=50"" title=""PFS Guide"">PFS Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","expert in <u><a href=""Skills.aspx?ID=15"">Stealth</a></u>","A good getaway requires a good distraction.","—"
"<u><a href=""Feats.aspx?ID=3600"">Final Rest</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=123"" title=""Knights of Lastwall"">Knights of Lastwall</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=882"">Lastwall Sentry Dedication</a></u>","As stubborn in death as you are in life, you vow you'll never aid your hated enemies.","—"
"<u><a href=""Feats.aspx?ID=3135"">Gear Gnash</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=3134"">Trapsmith Dedication</a></u>; expert in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>","Snares you create have complicated inner workings that are quite difficult to disable.","—"
"<u><a href=""Feats.aspx?ID=2084"">Hidden Magic</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","expert in <u><a href=""Skills.aspx?ID=2"">Arcana</a></u>, <u><a href=""Skills.aspx?ID=10"">Nature</a></u>, <u><a href=""Skills.aspx?ID=11"">Occultism</a></u>, or <u><a href=""Skills.aspx?ID=13"">Religion</a></u>; <u><a href=""Feats.aspx?ID=2083"">Vigilante Dedication</a></u>","You've learned to hide the magical auras of your gear.","—"
"<u><a href=""Feats.aspx?ID=2187"">Hideous Ululation</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=41"" title=""The Slithering"">The Slithering</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=2185"">Oozemorph Dedication</a></u>; trained in <u><a href=""Skills.aspx?ID=12"">Performance</a></u>","Your throat has multiple separate chambers that can give your voice an eerie echo.","—"
"<u><a href=""Feats.aspx?ID=3810"">In Plain Sight</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=129"" title=""Dark Archive"">Dark Archive</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=3807"">Alter Ego Dedication</a></u>","People often only see what they want to see, a weakness you know how to take full advantage of.","—"
"<u><a href=""Feats.aspx?ID=2272"">Kreighton's Cognitive Crossover</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=50"" title=""PFS Guide"">PFS Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","—","Kreighton teaches his students that an agile mind can glean clues leading to the truth, even from the most unlikely of sources.","—"
"<u><a href=""Feats.aspx?ID=2085"">Minion Guise</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>, <u><a href=""Traits.aspx?ID=325"">Social</a></u>","4","animal companion, or familiar; expert in <u><a href=""Skills.aspx?ID=5"">Deception</a></u>; <u><a href=""Feats.aspx?ID=2083"">Vigilante Dedication</a></u>","When you are in your social identity, you can also grant a social identity to an animal companion, familiar, or other minion.","—"
"<u><a href=""Feats.aspx?ID=1994"">Multilingual Cipher</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=1993"">Linguist Dedication</a></u>; expert in <u><a href=""Skills.aspx?ID=14"">Society</a></u>","You use multiple languages to create and break codes.","—"
"<u><a href=""Feats.aspx?ID=3223"">Named Artillery</a></u>","—","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","trained in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>","It is a tradition among artillerists to name the siege weapon most important to them and closest to their heart—much as a sailor on a ship, the weapon is their livelihood.","—"
"<u><a href=""Feats.aspx?ID=2002"">Orthographic Mastery</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=2000"">Loremaster Dedication</a></u>","You understand the principles that underlie all written words, allowing you to read nearly any text.","—"
"<u><a href=""Feats.aspx?ID=1995"">Phonetic Training</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=1993"">Linguist Dedication</a></u>; expert in <u><a href=""Skills.aspx?ID=14"">Society</a></u>","You can pronounce and repeat words with near-perfect accuracy even if you don't understand their meaning.","—"
"<u><a href=""Feats.aspx?ID=3143"">Power Slide</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=114"">Move</a></u>, <u><a href=""Traits.aspx?ID=285"">Reckless</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=3140"">Trick Driver Dedication</a></u>","You throw the vehicle into a barely controlled skid, turning sharply to evade pursuit or bring your weapons to bear.","—"
"<u><a href=""Feats.aspx?ID=1923"">Quick Mount</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=1919"">Cavalier Dedication</a></u>; expert in <u><a href=""Skills.aspx?ID=10"">Nature</a></u>","You and your mount can spring into action at a moment's notice.","—"
"<u><a href=""Feats.aspx?ID=2059"">Reverse Engineering</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","expert in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>; <u><a href=""Feats.aspx?ID=2058"">Scrounger Dedication</a></u>","You are able to reverse engineer items into formulas more effectively than most.","—"
"<u><a href=""Feats.aspx?ID=2034"">Rope Runner</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","trained in <u><a href=""Skills.aspx?ID=1"">Acrobatics</a></u> and <u><a href=""Skills.aspx?ID=3"">Athletics</a></u>; <u><a href=""Feats.aspx?ID=2032"">Pirate Dedication</a></u>","You run and climb across ropes and rigging almost as easily as on the ground.","—"
"<u><a href=""Feats.aspx?ID=1881"">Settlement Scholastics</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=1879"">Archaeologist Dedication</a></u>","Your studies open up new horizons.","—"
"<u><a href=""Feats.aspx?ID=3823"">Sociable Vow</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=129"" title=""Dark Archive"">Dark Archive</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=3822"">Pactbinder Dedication</a></u>; expert in <u><a href=""Skills.aspx?ID=6"">Diplomacy</a></u>","You can leverage your vow in more social interactions.","—"
"<u><a href=""Feats.aspx?ID=2063"">Steel Skin</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","trained in <u><a href=""Skills.aspx?ID=16"">Survival</a></u>; <u><a href=""Feats.aspx?ID=2062"">Sentinel Dedication</a></u>","You wear your armor like a second skin.","—"
"<u><a href=""Feats.aspx?ID=1989"">Sure Foot</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=1987"">Horizon Walker Dedication</a></u>; expert in <u><a href=""Skills.aspx?ID=1"">Acrobatics</a></u> and <u><a href=""Skills.aspx?ID=3"">Athletics</a></u>","You know the secrets of moving in your favored terrain.","—"
"<u><a href=""Feats.aspx?ID=874"">Thorough Reports</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=6"" title=""World Guide"">World Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=871"">Pathfinder Agent Dedication</a></u>","Recalling Knowledge adds creatures to your list, granting you bonuses to Recall in future encounters.","—"
"<u><a href=""Feats.aspx?ID=2029"">Treat Condition</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=89"">Healing</a></u>, <u><a href=""Traits.aspx?ID=104"">Manipulate</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","4","<u><a href=""Feats.aspx?ID=2027"">Medic Dedication</a></u>","You treat an adjacent creature in an attempt to reduce the clumsy, enfeebled, or sickened condition.","—"
"<u><a href=""Feats.aspx?ID=1997"">Analyze Idiolect</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","6","<u><a href=""Feats.aspx?ID=1993"">Linguist Dedication</a></u>; expert in <u><a href=""Skills.aspx?ID=5"">Deception</a></u> and <u><a href=""Skills.aspx?ID=14"">Society</a></u>","You break down a specific individual's idiolect, memorizing their speech mannerisms and habits.","—"
"<u><a href=""Feats.aspx?ID=2226"">Craft Facsimile</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=50"" title=""PFS Guide"">PFS Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","6","expert in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>; <u><a href=""Feats.aspx?ID=871"">Pathfinder Agent Dedication</a></u>","You're renowned for your ability to recover important items and sometimes that requires creating a stand-in.","—"
"<u><a href=""Feats.aspx?ID=1106"">Emerald Boughs Accustomation</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","6","<u><a href=""Feats.aspx?ID=1102"">Magaambyan Attendant Dedication</a></u>; Emerald Boughs affiliation; expert in <u><a href=""Skills.aspx?ID=14"">Society</a></u>","You are comfortable and socially capable in almost any cultural context.","—"
"<u><a href=""Feats.aspx?ID=1126"">Forced Entry</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","6","expert in <u><a href=""Skills.aspx?ID=3"">Athletics</a></u>; <u><a href=""Feats.aspx?ID=871"">Pathfinder Agent Dedication</a></u>","You are trained to preserve the archaeological value of your location when entering.","—"
"<u><a href=""Feats.aspx?ID=2030"">Holistic Care</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","6","trained in <u><a href=""Skills.aspx?ID=6"">Diplomacy</a></u>; <u><a href=""Feats.aspx?ID=2029"">Treat Condition</a></u>","You provide emotional and spiritual care.","—"
"<u><a href=""Feats.aspx?ID=3446"">Megafauna Veterinarian</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=116"" title=""Pathfinder #177: Burning Tundra"">Pathfinder #177</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","6","<u><a href=""Feats.aspx?ID=3443"">Mammoth Lord Dedication</a></u>; expert in <u><a href=""Skills.aspx?ID=10"">Nature</a></u>","By heeding the wise advice of elders in your following— and aided by your own experience—you've learned how to provide medical care to the megafauna of the Mammoth Lord followings.","—"
